설치장소명,설치장소상세,설치시군구명,서비스제공사명,와이파이SSID,WGS84위도,WGS84경도
중앙공원,"분당구청 잔디광장 맞은편 입구, 관리사무소 광장등 다수",성남시,성남시청,G_PublicWiFi@SeongNam,37.37498,127.124862
중앙도서관,"중앙도서관(1층 로비, 3층 로비, 시청각실)",성남시,성남시청,G_PublicWiFi@SeongNam,37.404186,127.134803
버스정류장 05-319,자연앤센트럴자이정문,성남시,성남시청,G_PublicWiFi@SeongNam,37.430534,127.155245
버스정류장 07-397,한라쇼핑앞.효자촌임광아파트,성남시,성남시청,G_PublicWiFi@SeongNam,37.375033,127.1367
버스정류장 07-398,동성아파트상가,성남시,성남시청,G_PublicWiFi@SeongNam,37.3727,127.133117
버스정류장 07-399,아름마을.방아다리사거리,성남시,성남시청,G_PublicWiFi@SeongNam,37.399933,127.12365
버스정류장 07-400,아름마을.방아다리사거리,성남시,성남시청,G_PublicWiFi@SeongNam,37.399917,127.12345
버스정류장 07-401,한양아파트,성남시,성남시청,G_PublicWiFi@SeongNam,37.383033,127.124783
버스정류장 07-404,경남아너스빌,성남시,성남시청,G_PublicWiFi@SeongNam,37.407333,127.12895
버스정류장 07-407,판교역서편,성남시,성남시청,G_PublicWiFi@SeongNam,37.394817,127.109833
버스정류장 07-412,판교동행정복지센터,성남시,성남시청,G_PublicWiFi@SeongNam,37.389217,127.0977
버스정류장 07-416,판교동행정복지센터,성남시,성남시청,G_PublicWiFi@SeongNam,37.3891,127.0975
버스정류장 07-417,낙생고등학교,성남시,성남시청,G_PublicWiFi@SeongNam,37.387067,127.10185
버스정류장 07-419,낙생초등학교,성남시,성남시청,G_PublicWiFi@SeongNam,37.3936,127.098117
버스정류장 07-420,백현마을3단지,성남시,성남시청,G_PublicWiFi@SeongNam,37.391783,127.11815
버스정류장 07-428,오리역.하나로마트,성남시,성남시청,G_PublicWiFi@SeongNam,37.339317,127.10915
버스정류장 07-430,건영아파트(마을),성남시,성남시청,G_PublicWiFi@SeongNam,37.371017,127.13935
버스정류장 07-433,우성상가,성남시,성남시청,G_PublicWiFi@SeongNam,37.377517,127.132267
버스정류장 07-434,시범현대아파트,성남시,성남시청,G_PublicWiFi@SeongNam,37.379417,127.129617
버스정류장 07-436,새마을연수원입구,성남시,성남시청,G_PublicWiFi@SeongNam,37.38415,127.130033
버스정류장 07-437,서현문화의집,성남시,성남시청,G_PublicWiFi@SeongNam,37.382717,127.12685
버스정류장 07-443,매화마을주공4단지,성남시,성남시청,G_PublicWiFi@SeongNam,37.413,127.14205
버스정류장 07-444,장안중학교후문,성남시,성남시청,G_PublicWiFi@SeongNam,37.370867,127.147467
버스정류장 07-446,궁안마을,성남시,성남시청,G_PublicWiFi@SeongNam,37.370283,127.094067
버스정류장 07-447,한국학중앙연구원,성남시,성남시청,G_PublicWiFi@SeongNam,37.3916,127.0563
버스정류장 07-448,시범상가,성남시,성남시청,G_PublicWiFi@SeongNam,37.3809,127.128
버스정류장 07-450,동안교,성남시,성남시청,G_PublicWiFi@SeongNam,37.39725,127.109867
버스정류장 07-455,판교역서편,성남시,성남시청,G_PublicWiFi@SeongNam,37.394717,127.109517
버스정류장 07-456,석운동,성남시,성남시청,G_PublicWiFi@SeongNam,37.380383,127.047033
버스정류장 07-464,동대문교회,성남시,성남시청,G_PublicWiFi@SeongNam,37.36635,127.142633
버스정류장 07-465,지역난방공사,성남시,성남시청,G_PublicWiFi@SeongNam,37.367417,127.14545
해오름도서관,해오름도서관 실내,성남시,성남시청,G_PublicWiFi@SeongNam,37.441528,127.159598
햇빛어린이공원,분당구 수내동 26(CCTV 분당수내1-A-3),성남시,성남시청,G_PublicWiFi@SeongNam,37.37488,127.116954
현대근린상가,"입실론수학학원, 중화루, 위너태권도, 경희한의원, 원미술, 예피아노",성남시,성남시청,Public WiFi Free,37.379469,127.130263
버스정류장 06-262,센트럴타운3단지,성남시,성남시청,G_PublicWiFi@SeongNam,37.418667,127.13105
버스정류장 06-263,연꽃마을4단지,성남시,성남시청,G_PublicWiFi@SeongNam,37.4184,127.133817
버스정류장 06-264,황송마을아파트,성남시,성남시청,G_PublicWiFi@SeongNam,37.445517,127.168783
버스정류장 06-266,황송게이트볼장,성남시,성남시청,G_PublicWiFi@SeongNam,37.447717,127.172517
버스정류장 06-277,단대오거리역(마을),성남시,성남시청,G_PublicWiFi@SeongNam,37.444517,127.157483
버스정류장 06-288,단남아파트,성남시,성남시청,G_PublicWiFi@SeongNam,37.442267,127.159633
